Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 464 = 522167, freq = 19982
FFT 462 = 568501, freq = 19896
FFT 460 = 640723, freq = 19810
FFT 459 = 752796, freq = 19767
FFT 457 = 943491, freq = 19681
FFT 456 = 965593, freq = 19638
FFT 455 = 1.13982e+06, freq = 19595
FFT 454 = 1.45722e+06, freq = 19552
FFT 453 = 2.06025e+06, freq = 19509
FFT 452 = 3.64189e+06, freq = 19466
FFT 451 = 1.06838e+07, freq = 19422
FFT 450 = 1.16906e+07, freq = 19379
FFT 511 = 9731.98, freq = 22006
FFT 510 = 66678.9, freq = 21963
FFT 506 = 70664.9, freq = 21791
FFT 499 = 75376.3, freq = 21490
FFT 498 = 80697.6, freq = 21447
FFT 493 = 90325.9, freq = 21231
FFT 481 = 100890, freq = 20714
FFT 472 = 119795, freq = 20327
FFT 469 = 121095, freq = 20198
FFT 468 = 144729, freq = 20155
FFT 450 = 157300, freq = 19379
FFT 439 = 172659, freq = 18906
FFT 434 = 188875, freq = 18690
FFT 432 = 208475, freq = 18604
FFT 429 = 285089, freq = 18475
FFT 427 = 318467, freq = 18389
FFT 426 = 402464, freq = 18346
FFT 425 = 542573, freq = 18303
FFT 424 = 664313, freq = 18260
FFT 423 = 835919, freq = 18217
FFT 422 = 1.38172e+06, freq = 18174
FFT 421 = 3.33106e+06, freq = 18130
FFT 420 = 7.83573e+06, freq = 18087
FFT 511 = 90099.9, freq = 22006
FFT 509 = 99130.3, freq = 21920
FFT 492 = 113506, freq = 21188
FFT 476 = 116049, freq = 20499
FFT 475 = 188206, freq = 20456
FFT 467 = 195952, freq = 20112
FFT 466 = 233731, freq = 20068
FFT 465 = 249017, freq = 20025
FFT 463 = 266594, freq = 19939
FFT 462 = 327148, freq = 19896
FFT 461 = 349931, freq = 19853
FFT 460 = 423222, freq = 19810
FFT 459 = 433482, freq = 19767
FFT 458 = 494775, freq = 19724
FFT 457 = 674716, freq = 19681
FFT 456 = 901115, freq = 19638
FFT 455 = 1.23864e+06, freq = 19595
FFT 454 = 2.34986e+06, freq = 19552
FFT 453 = 1.33074e+07, freq = 19509
FFT 511 = 24143.4, freq = 22006
FFT 510 = 98483.6, freq = 21963
FFT 505 = 101659, freq = 21748
FFT 499 = 140709, freq = 21490
FFT 494 = 153155, freq = 21274
FFT 472 = 181680, freq = 20327
FFT 468 = 195041, freq = 20155
FFT 467 = 209267, freq = 20112
FFT 464 = 220580, freq = 19982
FFT 463 = 260657, freq = 19939
FFT 462 = 272513, freq = 19896
FFT 461 = 414079, freq = 19853
FFT 459 = 489772, freq = 19767
